user_id,email,status,prefix,first_name,last_name,suffix,class_year
2025422,Alexis.Adams@modolabs.com,Pending,Mr.,Alexis,Adams,,1951
2025719,Alexis.Akins@modolabs.com,Pending,Mr.,Alexis,Akins,,1951
2026557,Alexis.Amjad@modolabs.com,Pending,Professor,Alexis,Amjad,,1951
2027557,Alexis.Bailey@modolabs.com,Pending,Mr.,Alexis,Bailey,,1951
2027881,Alexis.Cabot@modolabs.com,Pending,Dr.,Alexis,Cabot,,1951
2028687,Alexis.Chisholm@modolabs.com,Pending,Col.,Alexis,Chisholm,,1951
2030340,Alexis.Currier@modolabs.com,Pending,Mr.,Alexis,Currier,Jr.,1951
2031147,Alexis.Dunster@modolabs.com,Pending,Dr.,Alexis,Dunster,,1951
2038066,Alexis.Ellwood@modolabs.com,Pending,Dr.,Alexis,Ellwood,,1951
2043568,Alexis.Huang@modolabs.com,Pending,Dr,Alexis,Huang,,1951
2047919,Alexis.Kim@modolabs.com,Pending,Mr.,Alexis,Kim,,1951
2048670,Alexis.Kirkland@modolabs.com,Pending,Ms.,Alexis,Kirkland,,1951
2048764,Alexis.Lee@modolabs.com,Pending,Mr.,Alexis,Lee,,1951
2048774,Alexis.Leverett@modolabs.com,Pending,Mr.,Alexis,Leverett,,1951
2048811,Alexis.Lowell@modolabs.com,Pending,Mr.,Alexis,Lowell,,1951
2048853,Alexis.Mallon@modolabs.com,Pending,The Rev.,Alexis,Mallon,,1951
2048905,Alexis.Mather@modolabs.com,Pending,Mr.,Alexis,Mather,,1951
2049037,Alexis.Moreland@modolabs.com,Pending,,Alexis,Moreland,,1951
2049051,Alexis.Nagatoshi@modolabs.com,Pending,Mr.,Alexis,Nagatoshi,,1951
2049066,Alexis.North@modolabs.com,Pending,Mr.,Alexis,North,III,1951
2049301,Alexis.Ormsbee@modolabs.com,Pending,Mr.,Alexis,Ormsbee,Jr.,1951
2049324,Alexis.Patt@modolabs.com,Pending,Mr.,Alexis,Patt,,1951
2050757,Alexis.Pforzheimer@modolabs.com,Pending,,Alexis,Pforzheimer,,1951
2052373,Alexis.Quincy@modolabs.com,Pending,Mr.,Alexis,Quincy,Jr.,1951
2052399,Alexis.Smith@modolabs.com,Pending,,Alexis,Smith,,1951
2052442,Alexis.Swamy@modolabs.com,Pending,,Alexis,Swamy,,1951
2052455,Alexis.Tepfenhart@modolabs.com,Pending,,Alexis,Tepfenhart,,1951
2052693,Alexis.Winthrop@modolabs.com,Pending,Dr.,Alexis,Winthrop,,1951
2023924,modo.dsmith@gmail.com,Pending,Dr.,Dan,Smith,,1951
