user_id,email,status,prefix,first_name,last_name,suffix,class_year
2033055,Alexis.Akins@modolabs.com,Pending,Mr.,Alexis,Akins,,1961
2033910,Alexis.Amjad@modolabs.com,Pending,Dr.,Alexis,Amjad,,1961
2034258,Alexis.Bailey@modolabs.com,Pending,Mr.,Alexis,Bailey,,1961
2034266,Alexis.Cabot@modolabs.com,Pending,Dr.,Alexis,Cabot,,1961
2034344,Alexis.Chisholm@modolabs.com,Pending,Mr.,Alexis,Chisholm,,1961
2035006,Alexis.Dunster@modolabs.com,Pending,Ms.,Alexis,Dunster,,1961
2035359,Alexis.Ellwood@modolabs.com,Pending,Mr.,Alexis,Ellwood,,1961
2035636,Alexis.Huang@modolabs.com,Pending,Mr.,Alexis,Huang,,1961
2035641,Alexis.Jones@modolabs.com,Pending,Mr.,Alexis,Jones,,1961
2035991,Alexis.Kim@modolabs.com,Pending,Dr.,Alexis,Kim,,1961
2036043,Alexis.Lee@modolabs.com,Pending,Ms.,Alexis,Lee,,1961
2036226,Alexis.Leverett@modolabs.com,Pending,Mr.,Alexis,Leverett,,1961
2036377,Alexis.Lowell@modolabs.com,Pending,Mr.,Alexis,Lowell,,1961
2036475,Alexis.Mallon@modolabs.com,Pending,Prof.,Alexis,Mallon,,1961
2036555,Alexis.Mather@modolabs.com,Pending,Mr.,Alexis,Mather,,1961
2036816,Alexis.Moreland@modolabs.com,Pending,Mr.,Alexis,Moreland,,1961
2036908,Alexis.Nagatoshi@modolabs.com,Pending,Mr.,Alexis,Nagatoshi,,1961
2036931,Alexis.North@modolabs.com,Pending,Mr.,Alexis,North,,1961
2036936,Alexis.Ormsbee@modolabs.com,Pending,Dr.,Alexis,Ormsbee,,1961
2036947,Alexis.Patt@modolabs.com,Pending,Dr.,Alexis,Patt,,1961
2036954,Alexis.Pforzheimer@modolabs.com,Pending,Prof.,Alexis,Pforzheimer,,1961
2037041,Alexis.Quincy@modolabs.com,Pending,Mr.,Alexis,Quincy,,1961
2037049,Alexis.Smith@modolabs.com,Pending,Mr.,Alexis,Smith,Jr.,1961
2037082,Alexis.Swamy@modolabs.com,Pending,Dr.,Alexis,Swamy,,1961
2037164,Alexis.Tepfenhart@modolabs.com,Pending,Mr.,Alexis,Tepfenhart,,1961
2037196,Alexis.Winthrop@modolabs.com,Pending,Mr.,Alexis,Winthrop,,1961
2037244,Alexis.Yu@modolabs.com,Pending,Mr.,Alexis,Yu,,1961
2037290,Andrew.Adams@modolabs.com,Pending,Dr.,Andrew,Adams,,1961
2037372,Andrew.Amjad@modolabs.com,Pending,Mr.,Andrew,Amjad,,1961
