email,user_id,status,prefix,first_name,last_name,suffix,class_year,391136,391137,391138,391139,391140,391141,391142,391143,391144,391145,391146,391148,391150,391245,391378,391379,391385,391386,391387,391388,391389,391391,391392,391477,391478,391947,391948,392637,392650
Alexis.Adams@modolabs.com,2035613,Pending,Mr.,Alexis,Adams,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,,,,,,,,,,
Alexis.Akins@modolabs.com,2035728,Pending,Mr.,Alexis,Akins,,2006,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1
Alexis.Amjad@modolabs.com,2036216,Pending,Mr.,Alexis,Amjad,,2006,1,1,1,1,1,,1,1,1,,1,,,,,,1,,,,,,,,,,,,
Alexis.Bailey@modolabs.com,2036474,Pending,Mr.,Alexis,Bailey,,2006,,1,,1,1,,,,,,,,,,,,1,,,1,,1,,,,,,,1
Alexis.Cabot@modolabs.com,2039303,Pending,Ms.,Alexis,Cabot,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,,,,,,,,,,
Alexis.Chisholm@modolabs.com,2039668,Pending,Ms.,Alexis,Chisholm,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,,,1,1,,,,,,
Alexis.Currier@modolabs.com,2039759,Pending,Mr.,Alexis,Currier,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,,,,,,,,,,
Alexis.Dunster@modolabs.com,2039802,Pending,Ms.,Alexis,Dunster,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,1,,,,,,,,,1
Alexis.Ellwood@modolabs.com,2040068,Pending,Ms.,Alexis,Ellwood,,2006,1,1,1,1,1,,1,,1,,,,,,,,1,,,,1,,,,,,,1,
Alexis.Huang@modolabs.com,2040099,Pending,Ms.,Alexis,Huang,,2006,1,1,1,1,1,,1,,1,,1,,,,,,1,,,,1,,,,,,,1,1
Alexis.Kim@modolabs.com,2040261,Pending,Mr.,Alexis,Kim,,2006,1,1,1,1,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,
