email,user_id,status,prefix,first_name,last_name,suffix,class_year,392030,392031,392032,392033,392034,392035,392036,392037,392038,392039,392040,392042,392043,392044,392045,392046,392047,392048,392049,392050,392051,392052,392053,392054,392055,392056,392057,392058,392059,392060,392061,392063,392151,392152,392153,392154,392155,392156,392648,394940,394941,394942,394943,394944
Alexis.Adams@modolabs.com,2039636,0,,Alexis,Adams,Kiser,1991,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Alexis.Akins@modolabs.com,2039709,0,,Alexis,Akins,Sikes,1991,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,
Alexis.Amjad@modolabs.com,2039806,0,,Alexis,Amjad,Hurwitz,1991,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,
Alexis.Bailey@modolabs.com,2039835,0,Requested,Alexis,Bailey,Gimm,1991,1,1,,,,1,,1,,,,,,1,,1,,,1,,1,,,1,,,,1,1,,,,,1,,1,1,,,1,,,,
Alexis.Cabot@modolabs.com,2039855,0,,Alexis,Cabot,Webb,1991,1,1,,,,,,,,1,,,,1,,1,,,,,1,,,,1,1,,,,1,,,,,,,1,,1,1,,,,
Alexis.Chisholm@modolabs.com,2039958,0,,Alexis,Chisholm,Diejomaoh,1991,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,
Alexis.Currier@modolabs.com,2039970,0,,Alexis,Currier,Bollinger,1991,1,1,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,1,,1,,,,,,,
Alexis.Dunster@modolabs.com,2039973,0,,Alexis,Dunster,King,1991,1,1,,,,,,,,,,,,1,,1,,,,,1,,,1,,1,,1,1,,,,,,1,,1,,,1,,,,
Alexis.Ellwood@modolabs.com,2040049,0,,Alexis,Ellwood,Watson,1991,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,1,1,,,,
Alexis.Huang@modolabs.com,2040150,0,,Alexis,Huang,Flynn,1991,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,1,1,1,,,1,,,,
Alexis.Jones@modolabs.com,2040166,0,,Alexis,Jones,Garcia,1991,,,,,,,,,,1,,,,1,,,,,,,1,,,,1,1,,,,,,,,,,,1,,1,,,,,
Alexis.Kim@modolabs.com,2040224,0,,Alexis,Kim,Chehab,1991,1,1,,,,,1,1,1,,,,,1,,,,,,,1,,,,,1,,1,1,,,,,,1,,1,,,1,,,,
Alexis.Kirkland@modolabs.com,2040240,0,,Alexis,Kirkland,Moffitt,1991,1,1,,,,,,1,,,,,,1,,,,,1,,1,,,,,,,1,1,,,,,,1,1,1,,,1,,,,
Alexis.Lee@modolabs.com,2040281,0,,Alexis,Lee,Wilkes,1991,1,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,1,1,1,,,1,,,,
Alexis.Leverett@modolabs.com,2040322,0,,Alexis,Leverett,Cardi,1991,,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,
Alexis.Lowell@modolabs.com,2040326,0,,Alexis,Lowell,Hoffman,1991,1,1,,,,1,,,,,,,,1,1,,,,,,1,,,,,1,,,1,,,,,,,,1,,,1,,,,
Alexis.Mallon@modolabs.com,2040337,0,,Alexis,Mallon,Edelman,1991,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,1,,1,,,,,,,
Alexis.Mather@modolabs.com,2040372,0,,Alexis,Mather,Dolinsky,1991,,,,,,,,1,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,1,1,1,,,1,,,,
