email,user_id,status,prefix,first_name,last_name,suffix,class_year,391854,391855,391856,391857,391858,391859,391860,391861,391862,391863,391866,391867,391868,391869,391870,391871,391872,391873,391874,391875,391876,391877,391878,391879,391880,391881,391882,391883,391884,391918,391921,391922,391946,392644,392660,392661,394935,394936,394937,394938,394939
Alexis.Adams@modolabs.com,2035562,Pending,Dr.,Alexis,Adams,,1996,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,
Alexis.Akins@modolabs.com,2035822,Pending,Dr.,Alexis,Akins,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,
Alexis.Amjad@modolabs.com,2036841,Pending,Dr.,Alexis,Amjad,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,1,1,,,,,
Alexis.Bailey@modolabs.com,2041116,Pending,Dr.,Alexis,Bailey,,1996,,,1,,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,1,1,,,,,
Alexis.Cabot@modolabs.com,2041219,Pending,Mr.,Alexis,Cabot,,1996,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,1,1,,,,,
Alexis.Chisholm@modolabs.com,2041262,Pending,Prof.,Alexis,Chisholm,,1996,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Currier@modolabs.com,2043425,Pending,Mr.,Alexis,Currier,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Alexis.Dunster@modolabs.com,2044923,Pending,Ms.,Alexis,Dunster,,1996,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,
Alexis.Ellwood@modolabs.com,2044927,Pending,Mr.,Alexis,Ellwood,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,1,1,,,,,
Alexis.Huang@modolabs.com,2044966,Pending,Dr.,Alexis,Huang,,1996,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Jones@modolabs.com,2045009,Pending,Ms.,Alexis,Jones,,1996,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Kim@modolabs.com,2045086,Pending,Mr.,Alexis,Kim,Jr.,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,
Alexis.Kirkland@modolabs.com,2045107,Pending,Ms.,Alexis,Kirkland,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Alexis.Lee@modolabs.com,2045118,Pending,Mrs.,Alexis,Lee,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Alexis.Leverett@modolabs.com,2045129,Pending,Ms.,Alexis,Leverett,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Alexis.Lowell@modolabs.com,2045298,Pending,Dr.,Alexis,Lowell,,1996,1,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,
Alexis.Mallon@modolabs.com,2045378,Pending,Mrs.,Alexis,Mallon,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Alexis.Mather@modolabs.com,2046282,Pending,Mr.,Alexis,Mather,,1996,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Moreland@modolabs.com,2046324,Pending,Mr.,Alexis,Moreland,,1996,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,
Alexis.Nagatoshi@modolabs.com,2046622,Pending,Ms.,Alexis,Nagatoshi,,1996,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.North@modolabs.com,2046809,Pending,Maj.,Alexis,North,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,
Alexis.Ormsbee@modolabs.com,2046948,Pending,Mr.,Alexis,Ormsbee,,1997,,,,,1,1,1,1,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,,1,,1,,,,,
Alexis.Patt@modolabs.com,2047153,Pending,Mr.,Alexis,Patt,IV,1996,,,1,,,,1,1,1,,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,,
Alexis.Pforzheimer@modolabs.com,2047347,Pending,Mr.,Alexis,Pforzheimer,,1996,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Quincy@modolabs.com,2047661,Pending,Ms.,Alexis,Quincy,,1996,,,1,,,,1,1,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,
Alexis.Smith@modolabs.com,2047750,Pending,Mr.,Alexis,Smith,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,1,1,,,1,1,,1,1,1,,,,,
Alexis.Swamy@modolabs.com,2048028,Pending,Dr.,Alexis,Swamy,,1996,,,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,
Alexis.Tepfenhart@modolabs.com,2048291,Pending,Mr.,Alexis,Tepfenhart,,1996,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Alexis.Winthrop@modolabs.com,2048372,Pending,Mr.,Alexis,Winthrop,,1996,1,1,,,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,,1,,,1,,,1,,1,,,,,
Andrew.Adams@modolabs.com,2049996,Pending,Mr.,Andrew,Adams,,1996,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
Andrew.Akins@modolabs.com,2051524,Pending,Dr.,Andrew,Akins,,1996,1,1,1,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Andrew.Amjad@modolabs.com,2052268,Pending,Ms.,Andrew,Amjad,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,,,
Andrew.Bailey@modolabs.com,2053288,Pending,Ms.,Andrew,Bailey,,1996,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,
Andrew.Cabot@modolabs.com,2053727,Pending,Ms.,Andrew,Cabot,,1996,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
modo.cfisher@gmail.com,2053898,Pending,Dr.,Cynthia,Fisher,,1996,1,1,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
