user_id,email,status,prefix,first_name,last_name,suffix,class_year
2042389,Alexis.Adams@modolabs.com,Pending,Mr.,Alexis,Adams,,1976
2043084,Alexis.Akins@modolabs.com,Pending,Dr.,Alexis,Akins,,1976
2044188,Alexis.Amjad@modolabs.com,Pending,Dr.,Alexis,Amjad,,1976
2045541,Alexis.Bailey@modolabs.com,Pending,Dr.,Alexis,Bailey,,1976
2046363,Alexis.Cabot@modolabs.com,Pending,Mr.,Alexis,Cabot,,1976
2047140,Alexis.Chisholm@modolabs.com,Pending,Mr.,Alexis,Chisholm,,1976
2047218,Alexis.Currier@modolabs.com,Pending,Mr.,Alexis,Currier,,1976
2047878,Alexis.Dunster@modolabs.com,Pending,Ms.,Alexis,Dunster,,1976
2048242,Alexis.Ellwood@modolabs.com,Pending,Mr.,Alexis,Ellwood,,1976
2049850,Alexis.Huang@modolabs.com,Pending,Mr.,Alexis,Huang,,1976
2050329,Alexis.Jones@modolabs.com,Pending,,Alexis,Jones,,1976
2050730,Alexis.Kim@modolabs.com,Pending,Mr.,Alexis,Kim,,1976
2051088,Alexis.Kirkland@modolabs.com,Pending,Ms.,Alexis,Kirkland,,1976
2051169,Alexis.Lee@modolabs.com,Pending,,Alexis,Lee,,1976
2051176,Alexis.Leverett@modolabs.com,Pending,Mr.,Alexis,Leverett,,1976
2051493,Alexis.Lowell@modolabs.com,Pending,Mr.,Alexis,Lowell,,1976
2051930,Alexis.Mallon@modolabs.com,Pending,Dr.,Alexis,Mallon,,1976
2052133,Alexis.Mather@modolabs.com,Pending,Ms.,Alexis,Mather,,1976
2052156,Alexis.Moreland@modolabs.com,Pending,Mrs.,Alexis,Moreland,,1976
2052409,Alexis.Nagatoshi@modolabs.com,Pending,Rev. Dr.,Alexis,Nagatoshi,,1976
2053402,Alexis.North@modolabs.com,Pending,Dr.,Alexis,North,,1976
2053457,Alexis.Ormsbee@modolabs.com,Pending,Mr.,Alexis,Ormsbee,,1976
2053462,Alexis.Patt@modolabs.com,Pending,Ms.,Alexis,Patt,,1976
2053858,Alexis.Pforzheimer@modolabs.com,Pending,Ms.,Alexis,Pforzheimer,,1976
2053859,Alexis.Quincy@modolabs.com,Pending,Ms.,Alexis,Quincy,,1976
2054076,Alexis.Smith@modolabs.com,Pending,Ms.,Alexis,Smith,,1976
2054090,Alexis.Swamy@modolabs.com,Pending,Mr.,Alexis,Swamy,,1976
2038649,modo.mpark@gmail.com,Pending,Ms.,Mary,Park,,2007
