user_id,email,status,prefix,first_name,last_name,suffix,class_year
2137231,Alexis.Adams@modolabs.com,Pending,Mr.,Alexis,Adams,Jr.,1966
2141443,Alexis.Akins@modolabs.com,Pending,Mr.,Alexis,Akins,,1966
2141731,Alexis.Amjad@modolabs.com,Pending,Ms.,Alexis,Amjad,,1966
2143052,Alexis.Bailey@modolabs.com,Pending,Mr.,Alexis,Bailey,,1966
2143647,Alexis.Cabot@modolabs.com,Pending,Mr.,Alexis,Cabot,,1966
2143787,Alexis.Chisholm@modolabs.com,Pending,Mr.,Alexis,Chisholm,,1966
2143827,Alexis.Currier@modolabs.com,Pending,Mr.,Alexis,Currier,,1966
2143895,Alexis.Dunster@modolabs.com,Pending,Mr.,Alexis,Dunster,,1966
2143942,Alexis.Ellwood@modolabs.com,Pending,Dr.,Alexis,Ellwood,,1966
2144211,Alexis.Huang@modolabs.com,Pending,Mr.,Alexis,Huang,,1966
2144447,Alexis.Jones@modolabs.com,Pending,Mr.,Alexis,Jones,,1966
2144756,Alexis.Kim@modolabs.com,Pending,Mr.,Alexis,Kim,,1966
2144760,Alexis.Kirkland@modolabs.com,Pending,Mr.,Alexis,Kirkland,,1966
2144763,Alexis.Lee@modolabs.com,Pending,Mr.,Alexis,Lee,,1966
2144765,Alexis.Leverett@modolabs.com,Pending,Mr.,Alexis,Leverett,Jr.,1966
2144769,Alexis.Lowell@modolabs.com,Pending,Mr.,Alexis,Lowell,III,1966
2144772,Alexis.Mallon@modolabs.com,Pending,Mr.,Alexis,Mallon,,1966
2144856,Alexis.Mather@modolabs.com,Pending,Dr.,Alexis,Mather,,1966
2145029,Alexis.Moreland@modolabs.com,Pending,Mr.,Alexis,Moreland,,1966
2145211,Alexis.Nagatoshi@modolabs.com,Pending,Dr.,Alexis,Nagatoshi,,1966
2145394,Alexis.North@modolabs.com,Pending,Dr.,Alexis,North,,1966
2145547,Alexis.Ormsbee@modolabs.com,Pending,Mr.,Alexis,Ormsbee,,1966
2145697,Alexis.Patt@modolabs.com,Pending,Dr.,Alexis,Patt,Jr.,1966
2145769,Alexis.Pforzheimer@modolabs.com,Pending,Mr.,Alexis,Pforzheimer,Jr.,1966
2146357,Alexis.Quincy@modolabs.com,Pending,Mr.,Alexis,Quincy,Jr.,1966
2146882,Alexis.Smith@modolabs.com,Pending,Mr.,Alexis,Smith,,1966
2146883,Alexis.Swamy@modolabs.com,Pending,Dr.,Alexis,Swamy,,1966
2146884,Alexis.Tepfenhart@modolabs.com,Pending,Dr.,Alexis,Tepfenhart,,1966
2146891,Alexis.Winthrop@modolabs.com,Pending,Ms.,Alexis,Winthrop,,1966
2146892,Alexis.Yu@modolabs.com,Pending,Mr.,Alexis,Yu,,1966
2147596,Andrew.Adams@modolabs.com,Pending,Mr.,Andrew,Adams,,1966
2147731,Andrew.Akins@modolabs.com,Pending,Mr.,Andrew,Akins,Jr.,1966
2147964,Andrew.Amjad@modolabs.com,Pending,Mr.,Andrew,Amjad,Jr.,1966
2148019,Andrew.Bailey@modolabs.com,Pending,Mr.,Andrew,Bailey,,1966
2148041,Andrew.Cabot@modolabs.com,Pending,Dr.,Andrew,Cabot,,1966
2148063,Andrew.Chisholm@modolabs.com,Pending,Dr.,Andrew,Chisholm,,1966
2148181,Andrew.Currier@modolabs.com,Pending,Mr.,Andrew,Currier,,1966
2148269,Andrew.Dunster@modolabs.com,Pending,Mr.,Andrew,Dunster,Jr.,1966
2148434,Andrew.Ellwood@modolabs.com,Pending,Dr.,Andrew,Ellwood,,1966
2148536,Andrew.Huang@modolabs.com,Pending,Mr.,Andrew,Huang,,1966
2148538,modo.cfisher@gmail.com,Pending,Mr.,Cynthia,Fisher,,1966
2148571,modo.dfisher@gmail.com,Pending,Mr.,Darin,Fisher,,1966
2148585,modo.jleary@gmail.com,Pending,Mr.,Joe,Leary,,1966
2148577,modo.mpark@gmail.com,Pending,Dr.,Mary,Park,,1966
2148580,modo.sdoe@gmail.com,Pending,Mr.,Shanon,Doe,,1966
